TAX PERIOD,NAICS,PRIMARY NAICS DESCRIPTION,LOCATION COUNT,TOTAL MEASURE
201200A,561300,Employment services,5309,$1383785616.12
200900A,812111,Barber shops,2175,$60213553.00
200900A,561730,Landscaping services,2654,$94743316.00
201600A,624100,Individual & family services,1344,$95758178.20
201300A,812190,Other personal care services (including diet & weight reducing centers),861,$41641756.00
201700A,233310,Manufacturing and Industrial Building Construction (1997 NAICS),2,$0.00
201300A,524210,Insurance agencies & brokerages,1041,$542963275.29
201100A,516110,Internet publishing & broadcasting,818,$154091055.88
200800A,423600,Electrical & electronic goods,1062,$1818213822.00
200700A,423200,Furniture &  home furnishing,365,$327061685.00
200600A,487000,Scenic & sightseeing transportation,46,$3803633.00
200900A,448140,Family clothing stores,861,$391089782.00
200500A,233320,Commercial and Institutional Building Construction (1997 NAICS),140,$186290977.00
201200A,311400,Fruit & vegetable preserving & speciality food mfg.,227,$124872429.00
201600A,524290,Other insurance related activities,279,$137104635.00
201500A,339110,Medical equipment & supplies mfg.,469,$268003016.00
201000A,211110,Oil & gas extraction,71,$121627399.00
201100A,233210,Single Family Housing Construction (1997 NAICS),6743,$1294020912.14
200800A,441110,New car dealers,345,$3756822293.00
200600A,233210,Single Family Housing Construction (1997 NAICS),3874,$1041695604.46
200900A,235420,"Drywall, Plastering, Acoustical, and Insulation Contractors (1997 NAICS)",407,$284576028.00
200900A,812113,Nail salons,1741,$60456447.22
201400A,233320,Commercial and Institutional Building Construction (1997 NAICS),720,$1106282328.00
200500A,451220,"Prerecorded tape, compact disc, & record stores",285,$106002333.47
201700A,561500,Travel arrangement & reservation services,271,$14673077.00
200900A,713100,Amusement parks & arcades,30,$24966733.00
200800A,532310,General rental centers,42,$27406485.00
201700A,721310,Rooming & boarding houses,3,$0.00
201500A,446190,Other health & personal care stores,769,$325988574.00
200600A,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",2029,$935831361.63
201500A,812210,Funeral homes & funeral services,71,$21847486.00
201200A,488000,Support activities for transportation (including motor vehicle towing),999,$1038757810.24
201500A,811430,Footwear & leather goods repair,194,$8821380.00
201600A,234990,Other Heavy and Civil Engineering Construction,82,$200953164.00
201100A,524290,Other insurance related activities,155,$78005070.00
200600A,484110,"General freight trucking, local",439,$103082585.58
200900A,561720,Janitorial services,6530,$311084807.00
201600A,811490,Other personal &  household goods repair & maintenance,1455,$74451790.56
201500A,451140,Musical instrument & supplies stores,278,$66975009.12
200700A,561210,Facilities support (management) services,102,$33752991.30
201000A,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",3477,$286919406.22
201100A,522200,Nondepository credit intermediation (including sales financing & consumer lending),441,$159967696.39
200600A,331000,Primary metal mfg.,14,$3861211.00
201500A,722300,Special food services (including food service contractors & caterers),2480,$558319711.86
201300A,541370,Surveying & mapping (except geophysical) services,46,$6995463.00
200600A,721310,Rooming & boarding houses,228,$172362512.66
201300A,424930,"Flower, nursery stock, & florists' supplies",530,$196775828.31
200900A,621400,Outpatient  care centers,290,$195701000.00
201000A,561410,Document preparation services,134,$12250354.10
200800A,531310,Real estate property managers,1860,$514538718.60
200900A,445220,Fish & seafood markets,39,$83115414.00
200700A,448140,Family clothing stores,559,$381370825.00
201100A,713100,Amusement parks & arcades,27,$21326205.00
200600A,424800,"Beer, wine, & distilled alcoholic beverage",38,$14911006.00
201500A,442110,Furniture stores,1052,$559646140.00
201200A,487000,Scenic & sightseeing transportation,193,$15662688.00
201400A,424300,"Apparel, piece goods, & notions",3405,$3121848965.46
201000A,812113,Nail salons,1818,$63005061.23
201600A,339110,Medical equipment & supplies mfg.,453,$292118953.86
201000A,448150,Clothing accessories stores,690,$166573916.00
200900A,561110,Office administrative services,1139,$567483959.65
201600A,235310,Electrical Contractors (1997 NAICS),2789,$886980956.00
200600A,235420,"Drywall, Plastering, Acoustical, and Insulation Contractors (1997 NAICS)",285,$214179138.00
201200A,444110,Home centers,42,$152525820.00
200700A,812113,Nail salons,1432,$47972625.00
201200A,424930,"Flower, nursery stock, & florists' supplies",487,$197390490.00
201500A,453210,Office supplies & stationery stores,345,$258258435.00
201200A,339110,Medical equipment & supplies mfg.,365,$182479673.00
201000A,722211,Limited-service eating places,896,$297905472.92
201500A,523130,Commodity contracts dealers,58,$16686924.00
201500A,541910,Market research & public opinion polling,501,$282490290.45
201200A,561210,Facilities support (management) services,193,$106183205.00
201200A,812920,Photofinishing,131,$8497078.00
201600A,812910,Pet care (except veterinary) services,633,$68134708.50
201400A,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",579,$153048278.00
201100A,561500,Travel arrangement & reservation services,6050,$631763974.94
201200A,235920,Glass and Glazing Contractors (1997 NAICS),168,$26474703.25
201500A,446120,"Cosmetics, beauty supplies, & perfume stores",1528,$337916215.10
200800A,448150,Clothing accessories stores,521,$187784715.06
201600A,621610,Home health care services,4230,$432275200.78
200600A,423930,Recyclable materials,122,$238989743.00
201000A,711300,"Promoters of performing arts, sports, & similar events",1673,$1321386520.93
200900A,621610,Home health care services,1362,$184556877.00
200900A,237210,Land subdivision,230,$217429907.00
201000A,448320,Luggage & leather goods stores,85,$14620439.50
201300A,424920,"Books, periodicals, & newspapers",541,$525672382.15
201400A,541320,Landscape architecture services,966,$144266512.29
201600A,721100,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",771,$1727403887.65
201600A,311400,Fruit & vegetable preserving & speciality food mfg.,389,$222972933.00
200900A,811210,Electronic & precision equipment repair & maintenance,262,$22901378.00
201600A,811420,Reupholstery & furniture repair,241,$31732247.00
201000A,621340,"Offices of physical, occupational & speech therapists, & audiologists",575,$54752326.00
201000A,311300,Sugar & confectionery product mfg.,68,$3133268.00
201600A,325900,Other chemical products & preparation mfg.,156,$113469516.00
200500A,235930,Excavation Contractors (1997 NAICS),37,$51914412.00
201200A,541360,Geophysical surveying & mapping services,46,$8367948.00
201200A,312000,Beverage & tobacco product mfg.,29,$30799702.00
201100A,811430,Footwear & leather goods repair,154,$5854489.00
201500A,423300,Lumber & other construction materials,276,$728886094.00
201000A,447100,Gasoline stations (including convenience stores with gas),498,$1978981108.00
200600A,447100,Gasoline stations (including convenience stores with gas),432,$1768727656.57
201500A,332000,Fabricated metal product mfg.,366,$532789292.00
201400A,311400,Fruit & vegetable preserving & speciality food mfg.,325,$172472149.00
201300A,235930,Excavation Contractors (1997 NAICS),70,$60838689.00
200600A,811120,"Automotive body, paint, interior, & glass repair",193,$69860281.14
200800A,812210,Funeral homes & funeral services,41,$21346644.00
200700A,812190,Other personal care services (including diet & weight reducing centers),356,$23259225.00
201700A,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",11,$1724196.00
201700A,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),29,$2886671.00
200800A,999999,Unclassified establishments (unable to classify),842,$84304637.00
200800A,445310,"Beer, wine & liquor stores",468,$147357708.00
201000A,541350,Building inspection services,70,$6003837.00
201600A,812113,Nail salons,2475,$167040069.40
200500A,713100,Amusement parks & arcades,19,$245251.00
201300A,234920,Power and Communication Transmission Line Construction (1997 NAICS),47,$47360697.00
201000A,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",412,$168144570.00
201700A,722300,Special food services (including food service contractors & caterers),58,$8119846.00
201300A,235410,Masonry and Stone Contractors (1997 NAICS),88,$19253930.15
200800A,541380,Testing laboratories,44,$31480600.00
200800A,811420,Reupholstery & furniture repair,165,$22704118.00
200700A,451140,Musical instrument & supplies stores,141,$61245808.50
201100A,235920,Glass and Glazing Contractors (1997 NAICS),167,$24018500.00
201000A,238290,Other building equipment contractors,284,$253652676.60
200500A,445230,Fruit & vegetable markets,380,$956517671.36
201600A,541910,Market research & public opinion polling,486,$227235811.00
201600A,561210,Facilities support (management) services,235,$128618617.36
201200A,425120,Wholesale trade agents & brokers,1447,$800566465.70
201500A,621610,Home health care services,4218,$390810487.28
201500A,541310,Architectural services,1331,$749528890.50
201700A,451140,Musical instrument & supplies stores,10,$1042803.00
201700A,512200,Sound recording industries,79,$8246060.00
200500A,524210,Insurance agencies & brokerages,594,$423144123.70
201200A,811420,Reupholstery & furniture repair,215,$17174189.00
200500A,448210,Shoe stores,281,$194376599.16
200800A,444130,Hardware stores,451,$689017316.00
201100A,541310,Architectural services,1074,$565119500.00
201700A,451120,"Hobby, toy, & game stores",8,$1410653.00
201500A,334000,Computer & electronic product mfg.,1268,$660931551.00
201200A,443112,"Radio, television, & other electronics stores",779,$298477097.00
200900A,812220,Cemeteries & crematories,13,$18373830.00
200700A,423800,"Machinery, equipment, & supplies",714,$888583921.00
200900A,451140,Musical instrument & supplies stores,174,$67020572.00
201100A,561900,"Other support services (including packaging & labeling services, & convention & trade show organizers)",183,$26696197.51
201700A,235810,Water Well Drilling Contractors (1997 NAICS),1,$0.00
200900A,624410,Child day care services,1481,$123525524.00
201600A,235910,Structural Steel Erection Contractors (1997 NAICS),152,$220835212.00
200500A,115310,Support activities for forestry,42,$640977.97
201700A,423930,Recyclable materials,5,$217955.00
200900A,561490,"Other business support services (including repossession services, court reporting, & stenotype services)",675,$139573605.61
200900A,541800,Advertising & related services,1426,$1143951180.50
201000A,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",514,$175564301.00
201400A,444130,Hardware stores,433,$647881276.00
201500A,561790,Other services to buildings & dwellings,2852,$84426660.50
201300A,453310,Used merchandise stores,226,$39458191.00
201200A,235520,Floor Laying and Other Floor Contractors (1997 NAICS),405,$95516734.83
201000A,441221,Motorcycle dealers,38,$22671895.00
201300A,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",541,$174349112.00
200500A,541214,Payroll services,23,$7662546.89
201200A,541370,Surveying & mapping (except geophysical) services,45,$8637926.00
200700A,561110,Office administrative services,944,$324545476.02
201600A,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),1203,$875312534.41
201600A,235210,Painting and Wall Covering Contractors (1997 NAICS),1608,$506893281.82
201700A,541214,Payroll services,6,$147351.00
201300A,448210,Shoe stores,419,$218525418.14
201300A,541700,Scientific research & development services,246,$40557018.00
200800A,485210,Interurban & rural bus transportation,11,$0.00
201400A,423700,"Hardware, & plumbing & heating equipment  & supplies",215,$376981909.00
201100A,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",635,$219325453.00
201200A,448130,Children's & infants' clothing stores,214,$57175548.00
201600A,512100,Motion picture & video industries (except video rental),11027,$7199665801.90
201600A,621210,Offices of dentists,583,$178831494.00
201500A,541100,Legal services,7723,$9079759973.28
200700A,423700,"Hardware, & plumbing & heating equipment  & supplies",151,$370578714.70
201200A,811490,Other personal &  household goods repair & maintenance,1158,$39638040.09
201000A,234920,Power and Communication Transmission Line Construction (1997 NAICS),43,$25384012.00
201300A,443130,Camera & photographic supplies stores,100,$14683344.00
201000A,561710,Exterminating & pest control services,185,$65036268.00
200700A,238110,Poured concrete foundation & structure contractors,142,$198975320.00
201500A,561110,Office administrative services,1913,$916981506.50
200800A,233310,Manufacturing and Industrial Building Construction (1997 NAICS),132,$280232710.00
200800A,234120,Bridge and Tunnel Construction (1997 NAICS),79,$27201011.00
200800A,621330,Offices of mental health practitioners (except physicians),441,$28368989.00
201600A,453210,Office supplies & stationery stores,310,$245162452.00
201300A,234990,Other Heavy and Civil Engineering Construction,81,$69182331.00
201700A,541213,Tax preparation services,104,$3102364.00
201200A,441229,All other motor vehicle dealers,381,$729547091.00
201100A,424210,Drugs & druggists' sundries,218,$410983922.00
201100A,713200,Gambling industries,10,$19983384.00
200900A,423700,"Hardware, & plumbing & heating equipment  & supplies",175,$362794219.00
201500A,541340,Drafting services,196,$7303519.00
201100A,235420,"Drywall, Plastering, Acoustical, and Insulation Contractors (1997 NAICS)",455,$155748258.00
200500A,235520,Floor Laying and Other Floor Contractors (1997 NAICS),246,$51612362.38
201600A,323100,Printing & related support activities,1046,$449847714.00
201600A,443120,Computer & software stores,938,$739964832.48
201600A,441229,All other motor vehicle dealers,444,$893111128.00
201600A,453910,Pet & pet supplies stores,242,$111211723.00
201500A,812111,Barber shops,3205,$109499778.21
201200A,443120,Computer & software stores,946,$1377555407.00
201700A,423300,Lumber & other construction materials,2,$0.00
201300A,561300,Employment services,5285,$1541606572.31
200700A,448150,Clothing accessories stores,446,$148362726.00
200800A,531390,Other activities related to real estate,427,$178016429.37
201300A,443112,"Radio, television, & other electronics stores",820,$331074871.64
200800A,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",5810,$2620483802.17
201500A,423910,Sporting & recreational goods & supplies,320,$156703145.00
201600A,453220,"Gift, novelty, & souvenir stores",1102,$290824015.00
201400A,332000,Fabricated metal product mfg.,338,$544495980.00
201600A,541219,Other accounting services,3362,$1007531063.40
201200A,448210,Shoe stores,382,$200375411.25
201200A,621900,"Other ambulatory health care services (including ambulance services, blood, & organ banks)",310,$1716465271.00
201000A,812220,Cemeteries & crematories,15,$18550324.00
201200A,424400,Grocery & related products,1356,$5321218433.54
201200A,441222,Boat dealers,35,$1824746.00
201400A,541510,Computer systems design & related services,3027,$800497099.21
200900A,233310,Manufacturing and Industrial Building Construction (1997 NAICS),144,$318224664.00
201200A,541800,Advertising & related services,1991,$1483299630.82
200900A,448190,Other Clothing Stores,523,$172716276.25
201600A,561790,Other services to buildings & dwellings,2611,$111027167.00
200500A,811420,Reupholstery & furniture repair,113,$16588814.00
201500A,451220,"Prerecorded tape, compact disc, & record stores",274,$74987998.00
201000A,621900,"Other ambulatory health care services (including ambulance services, blood, & organ banks)",204,$1638506977.00
201200A,454310,Fuel dealers,85,$562442650.00
200600A,561600,Investigation & security services,420,$307207003.90
201300A,337000,Furniture & related product mfg.,340,$147103429.00
201700A,451211,Book stores,13,$289729.00
201200A,561450,Credit bureaus,27,$7040408.00
201000A,443111,Household appliance stores,335,$168057996.00
201200A,561720,Janitorial services,8998,$400274509.27
200700A,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),647,$405317596.21
201400A,238990,All other specialty trade contractors,4018,$851338963.34
200700A,621320,Offices of optometrists,111,$37629227.00
200600A,512200,Sound recording industries,503,$134270373.03
200600A,423800,"Machinery, equipment, & supplies",685,$830924073.82
201400A,444200,Lawn & garden equipment & supplies stores,127,$44154812.00
201100A,562000,Waste management & remediation services,186,$186826576.00
200800A,524210,Insurance agencies & brokerages,777,$484492581.00
200500A,445100,Grocery stores (including supermarkets & convenience stores without gas),1221,$3900200570.77
201300A,451110,Sporting goods stores,356,$184958920.00
201100A,492000,Couriers & messengers,928,$42537631.00
201400A,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),1160,$782356503.22
200500A,541510,Computer systems design & related services,1011,$280276001.63
201600A,326000,Plastics & rubber products mfg.,172,$157736283.00
201000A,541219,Other accounting services,2701,$773288185.00
200800A,711100,Performing arts companies,265,$212859525.00
201600A,424950,"Paint, varnish, & supplies",59,$107655747.00
200700A,624310,Vocational rehabilitation services,24,$11589386.00
201100A,115210,Support activities for animal production (including farriers),236,$19548932.00
201300A,811120,"Automotive body, paint, interior, & glass repair",556,$134778500.00
200500A,713900,"Other amusement & recreation services (including golf courses, skiing facilities, marinas, fitness centers, bowling centers, skating rinks, miniature golf courses)",532,$243413397.81
201700A,561720,Janitorial services,209,$3220129.00
201500A,713200,Gambling industries,14,$6958023.00
201100A,531310,Real estate property managers,2612,$848277064.34
200900A,424940,Tobacco & tobacco products,211,$90802411.00
201300A,448130,Children's & infants' clothing stores,241,$67069939.05
201200A,541310,Architectural services,1120,$542790476.19
200700A,453210,Office supplies & stationery stores,231,$306994372.00
200700A,333000,Machinery mfg.,41,$39184208.00
201700A,711210,Spectator sports (including professional sports clubs & racetrack operations),28,$226403.00
201400A,311300,Sugar & confectionery product mfg.,140,$12147934.00
200500A,448110,Men's clothing stores,223,$68723884.80
201400A,541350,Building inspection services,135,$5970346.00
201400A,531210,Offices of real estate agents & brokers,2152,$1009312028.00
201300A,516110,Internet publishing & broadcasting,901,$173207057.70
201500A,448190,Other Clothing Stores,993,$293774547.65
201600A,339900,Other miscellaneous mfg.,2144,$969920866.86
201300A,561730,Landscaping services,3598,$119246452.10
201400A,561110,Office administrative services,1803,$813836984.88
201200A,621320,Offices of optometrists,160,$54882554.00
201700A,541360,Geophysical surveying & mapping services,2,$0.00
201500A,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",3911,$1593259674.10
201300A,423300,Lumber & other construction materials,271,$562686397.50
201700A,453930,Manufacture (mobile) home dealers,2,$0.00
201200A,322000,Paper mfg.,58,$23010668.00
200500A,812330,Linen & uniform supply,19,$75186978.00
201400A,448140,Family clothing stores,1188,$532916929.51
201400A,541214,Payroll services,106,$20323277.00
200600A,444200,Lawn & garden equipment & supplies stores,74,$24731799.00
201400A,424700,Petroleum & petroleum products,61,$1030207758.00
200800A,451220,"Prerecorded tape, compact disc, & record stores",304,$152274339.00
201500A,424930,"Flower, nursery stock, & florists' supplies",646,$213171467.00
201300A,721310,Rooming & boarding houses,306,$301332451.00
201400A,611000,"Educational services (including schools, colleges, & universities)",3664,$645191232.71
201500A,621210,Offices of dentists,545,$144843034.63
200900A,444120,Paint & wallpaper stores,75,$33218393.00
200700A,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",308,$167404103.00
201700A,441110,New car dealers,2,$0.00
201000A,561450,Credit bureaus,22,$7667004.00
201000A,448120,Women's clothing stores,353,$88592181.00
200500A,424100,Paper & paper products,198,$291455155.00
201400A,448190,Other Clothing Stores,892,$285586460.75
201200A,541100,Legal services,6474,$8051950831.23
200600A,441110,New car dealers,320,$3675780332.00
201600A,513330,Telecommunications Resellers,6,$6533322.00
200500A,522200,Nondepository credit intermediation (including sales financing & consumer lending),333,$113731134.47
200500A,424800,"Beer, wine, & distilled alcoholic beverage",31,$9613192.00
201100A,441221,Motorcycle dealers,45,$20747551.00
200900A,541350,Building inspection services,59,$4343446.00
200700A,444190,Other building materials dealers,333,$1142087890.00
201400A,523130,Commodity contracts dealers,57,$13201047.00
201200A,485210,Interurban & rural bus transportation,36,$29443889.00
200900A,532400,Commercial & industrial machinery & equipment rental & leasing,291,$730684534.99
201500A,511000,Publishing industries (except Internet),338,$316794142.45
201400A,423200,Furniture &  home furnishing,502,$289901306.64
201600A,331000,Primary metal mfg.,95,$22809565.00
200700A,424400,Grocery & related products,1134,$4778582109.00
200500A,621210,Offices of dentists,43,$14011806.00
201400A,561621,Security Systems Services (except locksmiths),5,$26012.00
201400A,511000,Publishing industries (except Internet),309,$273980717.16
200900A,541700,Scientific research & development services,141,$23949075.00
201600A,611000,"Educational services (including schools, colleges, & universities)",3915,$779682051.79
201000A,453210,Office supplies & stationery stores,274,$261600353.00
201300A,423990,Other miscellaneous durable goods,2237,$852608197.01
201600A,445290,Home furnishings stores,552,$439374819.75
200900A,446130,Optical goods stores,182,$118531666.00
201100A,485410,School & employee bus transportation,17,$0.00
201600A,562000,Waste management & remediation services,223,$222596824.00
201100A,621510,Medical & diagnostic laboratories,404,$554997187.00
200900A,424400,Grocery & related products,1242,$5066761181.75
200600A,423910,Sporting & recreational goods & supplies,125,$88837698.00
201700A,623000,Nursing & residential care facilities,16,$2464463.00
200800A,541211,Offices of certified public accountants,394,$360160931.00
201100A,541320,Landscape architecture services,839,$130142352.29
201100A,424600,Chemical & allied products,226,$1170192660.00
200800A,812112,Beauty salons,168,$12450248.98
201100A,561450,Credit bureaus,24,$8045447.00
201200A,561730,Landscaping services,3273,$105906704.00
201600A,451211,Book stores,459,$105587772.00
201400A,713200,Gambling industries,14,$7177131.00
200600A,424400,Grocery & related products,1093,$4518564155.34
200500A,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),334,$354820735.48
201000A,452000,General merchandise stores,3586,$2456733256.43
200700A,561720,Janitorial services,4948,$214494917.35
201500A,811490,Other personal &  household goods repair & maintenance,1549,$73621103.38
201600A,452000,General merchandise stores,4643,$3297980674.35
200900A,485410,School & employee bus transportation,15,$0.00
200600A,561110,Office administrative services,836,$205612159.55
201100A,443120,Computer & software stores,885,$1182266918.00
201500A,311800,Bakeries & tortilla mfg.,676,$132093353.00
200900A,485990,Other transit & ground passenger transportation,178,$472211.00
201400A,523210,Securities & commodity exchanges,18,$142257584.00
201100A,235110,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",2180,$493969867.00
201100A,423920,Toy & hobby goods & supplies,249,$98230877.00
201000A,233310,Manufacturing and Industrial Building Construction (1997 NAICS),159,$249209868.50
200700A,454210,Vending machine operators,205,$45103991.00
200500A,812113,Nail salons,1239,$37137713.74
201700A,339110,Medical equipment & supplies mfg.,8,$473581.00
200600A,713200,Gambling industries,4,$0.00
200700A,445210,Meat markets,46,$13190689.00
201600A,811430,Footwear & leather goods repair,177,$10068945.00
201700A,812320,Drycleaning & laundry services (except coin-operated) (including laundry & drycleaning drop-off & pickup sites),9,$448183.00
201100A,721100,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",625,$983714808.00
200500A,448310,Jewelry stores,513,$108247339.14
200600A,443120,Computer & software stores,617,$706888192.95
200600A,234910,"Water, Sewer, and Pipeline Construction (1997 NAICS)",81,$41847892.15
201500A,624100,Individual & family services,1394,$93881419.91
201100A,531210,Offices of real estate agents & brokers,1800,$699644002.84
201300A,485210,Interurban & rural bus transportation,34,$15595380.00
200600A,523130,Commodity contracts dealers,8,$733628.00
200800A,323100,Printing & related support activities,784,$548947896.00
201300A,485990,Other transit & ground passenger transportation,287,$6053298.00
201300A,238340,Tile & terrazzo contractors,247,$50275031.00
201600A,451120,"Hobby, toy, & game stores",221,$105233428.00
201400A,326000,Plastics & rubber products mfg.,155,$118358249.51
200700A,516110,Internet publishing & broadcasting,672,$101312647.00
200900A,445210,Meat markets,73,$28039299.00
201000A,541800,Advertising & related services,1583,$1128061910.39
200600A,623000,Nursing & residential care facilities,301,$388449352.00
201100A,811310,Commercial & industrial machinery & equipment (except automotive & electronic) repair & maintenance,251,$125135705.52
201200A,621400,Outpatient  care centers,391,$306228016.38
201500A,812990,All other personal services,22942,$1217982087.69
201700A,453220,"Gift, novelty, & souvenir stores",36,$1244951.00
201500A,234920,Power and Communication Transmission Line Construction (1997 NAICS),56,$52831286.00
200700A,424600,Chemical & allied products,220,$475682870.00
201100A,621210,Offices of dentists,255,$56178516.00
201000A,621399,Offices of all other miscellaneous health practitioners,2324,$822383609.45
201100A,311300,Sugar & confectionery product mfg.,77,$5051994.00
201600A,441222,Boat dealers,27,$1533581.00
200700A,445290,Home furnishings stores,675,$381209444.00
201100A,541350,Building inspection services,84,$4704046.00
200700A,446130,Optical goods stores,171,$111905626.00
200600A,532210,Consumer electronics & appliances rental,606,$562551324.04
200700A,811110,Automotive mechanical & electrical repair & maintenance,723,$75733059.00
201700A,561210,Facilities support (management) services,11,$2335737.00
201100A,522300,Activities related to credit intermediation (including loan brokers),636,$267922008.73
201700A,238290,Other building equipment contractors,14,$3021754.00
200500A,235420,"Drywall, Plastering, Acoustical, and Insulation Contractors (1997 NAICS)",256,$144718508.59
201200A,235210,Painting and Wall Covering Contractors (1997 NAICS),1792,$387401525.00
200500A,518210,"Data processing, hosting, & related services",165,$141820047.00
201300A,611000,"Educational services (including schools, colleges, & universities)",3261,$752108260.46
201400A,812320,Drycleaning & laundry services (except coin-operated) (including laundry & drycleaning drop-off & pickup sites),733,$200147410.00
200700A,812910,Pet care (except veterinary) services,135,$13822820.00
201500A,711100,Performing arts companies,812,$433457170.91
200600A,561720,Janitorial services,4195,$178849606.68
201200A,812112,Beauty salons,871,$28648067.00
200900A,423500,Metal & mineral (except petroleum),251,$360703654.00
201300A,425110,Business to business electronic markets,66,$12381525.98
201200A,519100,Other information services (including news syndicates and libraries),577,$164722333.06
200800A,451110,Sporting goods stores,241,$167922399.00
201000A,339900,Other miscellaneous mfg.,1363,$337569684.40
200600A,812190,Other personal care services (including diet & weight reducing centers),261,$20579203.00
201400A,522200,Nondepository credit intermediation (including sales financing & consumer lending),473,$127731982.00
201200A,211110,Oil & gas extraction,80,$198128218.00
201600A,448120,Women's clothing stores,1080,$742565561.86
201200A,812330,Linen & uniform supply,48,$84561077.00
201300A,541213,Tax preparation services,1259,$180216210.00
201700A,811120,"Automotive body, paint, interior, & glass repair",7,$167694.00
201400A,541940,Veterinary services,270,$237729898.00
201400A,425120,Wholesale trade agents & brokers,1711,$1060798222.94
201600A,451140,Musical instrument & supplies stores,260,$62302206.55
200800A,446190,Other health & personal care stores,283,$168444338.00
201600A,711510,"Independent artists, writers, & performers",19208,$2353304040.85
201400A,811430,Footwear & leather goods repair,184,$7681944.00
201700A,561440,Collection agencies,2,$0.00
201300A,621310,Offices of chiropractors,661,$84516091.53
200700A,234990,Other Heavy and Civil Engineering Construction,51,$45184321.00
201400A,518210,"Data processing, hosting, & related services",829,$700659066.94
200900A,711410,"Agents & managers for artists, athletes, entertainers, & other public figures",650,$107233598.66
201100A,448130,Children's & infants' clothing stores,204,$50357759.61
200700A,453310,Used merchandise stores,215,$35686529.00
201500A,447100,Gasoline stations (including convenience stores with gas),627,$3072805837.71
200900A,446110,Pharmacies & drug stores,489,$2967128016.50
200800A,424400,Grocery & related products,1185,$4931278069.22
200900A,451130,"Sewing, needlework, & piece goods stores",54,$16815289.00
201500A,441229,All other motor vehicle dealers,466,$791575041.00
201100A,423100,Motor vehicle & motor vehicle parts & supplies,888,$1643975141.73
201000A,531310,Real estate property managers,2345,$736026712.58
201100A,453930,Manufacture (mobile) home dealers,39,$131101023.00
201300A,451140,Musical instrument & supplies stores,238,$59180084.23
201000A,562000,Waste management & remediation services,164,$193510789.00
201300A,512100,Motion picture & video industries (except video rental),8951,$5958851789.52
201100A,541510,Computer systems design & related services,2234,$620211796.00
200600A,444130,Hardware stores,450,$730529074.24
201400A,561300,Employment services,5262,$1680889929.54
201700A,325900,Other chemical products & preparation mfg.,3,$0.00
200800A,512200,Sound recording industries,734,$260973781.45
200800A,454113,Mail-order houses,26,$22304622.00
201100A,446120,"Cosmetics, beauty supplies, & perfume stores",807,$242230287.00
201100A,812112,Beauty salons,642,$20596139.00
201100A,451220,"Prerecorded tape, compact disc, & record stores",298,$67885868.00
201300A,532210,Consumer electronics & appliances rental,624,$499478520.00
201500A,424700,Petroleum & petroleum products,63,$1241356135.00
200600A,424300,"Apparel, piece goods, & notions",2771,$2313687929.09
201100A,484110,"General freight trucking, local",622,$117537618.95
201100A,424400,Grocery & related products,1310,$5067092543.48
201500A,523210,Securities & commodity exchanges,18,$168796874.00
201600A,621900,"Other ambulatory health care services (including ambulance services, blood, & organ banks)",392,$2409429996.94
201000A,445210,Meat markets,89,$30591684.00
201000A,541211,Offices of certified public accountants,526,$400414221.00
201100A,423910,Sporting & recreational goods & supplies,231,$108211664.00
201500A,423930,Recyclable materials,393,$311446835.00
201600A,532210,Consumer electronics & appliances rental,607,$607120249.72
201000A,453110,Florists,398,$34832508.65
201000A,235930,Excavation Contractors (1997 NAICS),54,$40838679.18
201100A,238340,Tile & terrazzo contractors,240,$41522628.00
201100A,621399,Offices of all other miscellaneous health practitioners,2378,$820542509.94
200600A,446110,Pharmacies & drug stores,457,$2296434300.00
201000A,336000,Transportation equipment mfg.,67,$79676690.00
201100A,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",455,$147291129.00
200800A,425120,Wholesale trade agents & brokers,845,$449486717.85
201300A,812111,Barber shops,2889,$92539230.59
200900A,234910,"Water, Sewer, and Pipeline Construction (1997 NAICS)",95,$31965986.00
200700A,532230,Video tape & disc rental,76,$7160579.00
201700A,425110,Business to business electronic markets,3,$0.00
201100A,541940,Veterinary services,226,$214429969.00
201200A,448140,Family clothing stores,1027,$514841552.00
